Position,Strain,Eggs_collected,Hatched,File_name,Exp_ID,Exp_date,NaN,Medium_change,Incub_c,Room_temp_c,Hat_age_dph,Fish_moved,Record_start,Stripe_parameter,Record_time,Dish,Gain,Micromanager_ver,Java,imageJ,Monitor_connected_to,Performed_by,Cam_exp_ms,Cam_int_ms,Cam_count,Note
0,I2Cab_F4_#,20230913,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
1,HO5_F112_#10721,20230913,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
2,HO5_F112_#10721,20230913,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
3,HdrR_F104_#10685_2,20230914,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
4,I2Cab_F4_#,20230913,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
5,I2Cab_F4_#,20230913,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
6,HO5_F112_#10721,20230913,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
7,HO5_F112_#10721,20230913,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
8,HdrR_F104_#10685_2,20230914,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
9,I2Cab_F4_#,20230913,20230920,20230921_RS_262,RS_262,20230921,NaN,Mon_Wed_Fri,28,21,NaN,NaN,12:32,1-6,2h18m,50,160,iMac_2.0.0-ganmma1-20210218,1.8.0_333(64_bit),1.51s,iMac_Big_sur,RS,12,13,170000,ERM 5 ml + 0.5 ml + fish 
