Stripe_number,Speed_rad/s,Direction,Start_s,End_s,Stripe_width,Speed_deg/s
0,0,P_1,0,60,0,0
94,0,P_1,60,300,1.2,0
94,0.36,CW,300,450,1.2,20.63
94,0,P_2,450,480,1.2,0
94,-0.36,CCW,480,630,1.2,-20.63
71,0,P_1,630,660,1.6,0
71,0.36,CW,660,810,1.6,20.63
71,0,P_2,810,840,1.6,0
71,-0.36,CCW,840,990,1.6,-20.63
57,0,P_1,990,1020,2.0,0
57,0.36,CW,1020,1170,2.0,20.63
57,0,P_2,1170,1200,2.0,0
57,-0.36,CCW,1200,1350,2.0,-20.63
47,0,P_1,1350,1380,2.4,0
47,0.36,CW,1380,1530,2.4,20.63
47,0,P_2,1530,1560,2.4,0
47,-0.36,CCW,1560,1710,2.4,-20.63
40,0,P_1,1710,1740,2.8,0
40,0.36,CW,1740,1890,2.8,20.63
40,0,P_2,1890,1920,2.8,0
40,-0.36,CCW,1920,2070,2.8,-20.63
35,0,P_1,2070,2100,3.2,0
35,0.36,CW,2100,2250,3.2,20.63
35,0,P_2,2250,2280,3.2,0
35,-0.36,CCW,2280,2430,3.2,-20.63
31,0,P_1,2430,2460,3.7,0
31,0.36,CW,2460,2610,3.7,20.63
31,0,P_2,2610,2640,3.7,0
31,-0.36,CCW,2640,2790,3.7,-20.63
28,0,P_1,2790,2820,4.0,0
28,0.36,CW,2820,2970,4.0,20.63
28,0,P_2,2970,3000,4.0,0
28,-0.36,CCW,3000,3150,4.0,-20.63
26,0,P_1,3150,3180,4.4,0
26,0.36,CW,3180,3330,4.4,20.63
26,0,P_2,3330,3360,4.4,0
26,-0.36,CCW,3360,3510,4.4,-20.63
24,0,P_1,3510,3540,4.7,0
24,0.36,CW,3540,3690,4.7,20.63
24,0,P_2,3690,3720,4.7,0
24,-0.36,CCW,3720,3870,4.7,-20.63
22,0,P_1,3870,3900,5.2,0
22,0.36,CW,3900,4050,5.2,20.63
22,0,P_2,4050,4080,5.2,0
22,-0.36,CCW,4080,4230,5.2,-20.63
20,0,P_1,4230,4260,5.7,0
20,0.36,CW,4260,4410,5.7,20.63
20,0,P_2,4410,4440,5.7,0
20,-0.36,CCW,4440,4590,5.7,-20.63
19,0,P_1,4590,4620,6,0
19,0.36,CW,4620,4770,6,20.63
19,0,P_2,4770,4800,6,0
19,-0.36,CCW,4800,4950,6,-20.63
18,0,P_1,4950,4980,6.3,0
18,0.36,CW,4980,5130,6.3,20.63
18,0,P_2,5130,5160,6.3,0
18,-0.36,CCW,5160,5310,6.3,-20.63
17,0,P_1,5310,5340,6.7,0
17,0.36,CW,5340,5490,6.7,20.63
17,0,P_2,5490,5520,6.7,0
17,-0.36,CCW,5520,5670,6.7,-20.63
16,0,P_1,5670,5700,7.1,0
16,0.36,CW,5700,5850,7.1,20.63
16,0,P_2,5850,5880,7.1,0
16,-0.36,CCW,5880,6030,7.1,-20.63
15,0,P_1,6030,6060,7.6,0
15,0.36,CW,6060,6210,7.6,20.63
15,0,P_2,6210,6240,7.6,0
15,-0.36,CCW,6240,6390,7.6,-20.63
14,0,P_1,6390,6420,8.1,0
14,0.36,CW,6420,6570,8.1,20.63
14,0,P_2,6570,6600,8.1,0
14,-0.36,CCW,6600,6750,8.1,-20.63
14,0,P_1,6750,6780,8.1,0
14,1.08,CW,6780,6930,8.1,61.88
14,0,P_2,6930,6960,8.1,0
14,-1.08,CCW,6960,7110,8.1,-61.88
7,0,P_1,7110,7140,16.2,0
7,0.36,CW,7140,7290,16.2,20.63
7,0,P_2,7290,7320,16.2,0
7,-0.36,CCW,7320,7470,16.2,-20.63
7,0,P_1,7470,7500,16.2,0
7,1.08,CW,7500,7650,16.2,61.88
7,0,P_2,7650,7680,16.2,0
7,-1.08,CCW,7680,7830,16.2,-61.88
7,0,P_3,7830,7980,16.2,0
